text_input,palette,palette_lab,palette_lab_reorder
"['pink', 'bubblegum']","[(161, 25, 100), (199, 71, 181), (204, 15, 148), (129, 71, 126), (253, 146, 216)]","[[93, 186, 120], [132, 191, 95], [117, 202, 106], [100, 161, 107], [188, 177, 110]]","[[93, 186, 120], [100, 161, 107], [117, 202, 106], [132, 191, 95], [188, 177, 110]]"
"['eggplant', 'shades']","[(73, 11, 67), (48, 9, 58), (35, 3, 58), (27, 4, 51), (22, 1, 36)]","[[40, 163, 109], [26, 156, 106], [17, 156, 100], [13, 150, 103], [7, 143, 111]]","[[7, 143, 111], [13, 150, 103], [17, 156, 100], [26, 156, 106], [40, 163, 109]]"
"['pastels', 'with', 'no', 'purpose']","[(255, 208, 246), (219, 193, 255), (198, 191, 255), (193, 211, 255), (195, 231, 255)]","[[226, 151, 116], [209, 149, 101], [204, 144, 97], [216, 131, 105], [229, 121, 113]]","[[204, 144, 97], [209, 149, 101], [216, 131, 105], [226, 151, 116], [229, 121, 113]]"
['poo'],"[(81, 31, 31), (90, 36, 36), (96, 48, 48), (116, 64, 64), (133, 78, 78)]","[[49, 151, 140], [57, 153, 140], [67, 150, 138], [85, 151, 138], [101, 151, 138]]","[[49, 151, 140], [57, 153, 140], [67, 150, 138], [85, 151, 138], [101, 151, 138]]"
['abyss'],"[(3, 0, 30), (18, 15, 56), (31, 29, 79), (59, 62, 90), (156, 154, 167)]","[[3, 135, 112], [17, 144, 102], [36, 146, 97], [69, 134, 111], [164, 131, 121]]","[[3, 135, 112], [17, 144, 102], [36, 146, 97], [69, 134, 111], [164, 131, 121]]"
"['green', 'freedom']","[(229, 255, 251), (70, 141, 132), (79, 99, 103), (222, 239, 214), (207, 234, 194)]","[[250, 119, 127], [138, 103, 126], [103, 121, 123], [236, 118, 138], [229, 112, 144]]","[[103, 121, 123], [138, 103, 126], [229, 112, 144], [236, 118, 138], [250, 119, 127]]"
['skin'],"[(255, 255, 255), (255, 245, 237), (245, 206, 173), (182, 132, 98), (242, 183, 183)]","[[255, 128, 128], [248, 130, 133], [217, 137, 150], [151, 143, 154], [203, 149, 136]]","[[151, 143, 154], [203, 149, 136], [217, 137, 150], [248, 130, 133], [255, 128, 128]]"
"['ocean', 'vibes']","[(72, 177, 180), (50, 89, 171), (5, 70, 94), (73, 199, 151), (0, 116, 84)]","[[170, 99, 117], [100, 143, 80], [70, 119, 109], [185, 82, 142], [110, 92, 138]]","[[70, 119, 109], [100, 143, 80], [110, 92, 138], [170, 99, 117], [185, 82, 142]]"
"['rainy', 'gloom']","[(148, 186, 183), (76, 71, 96), (171, 165, 178), (129, 129, 141), (222, 232, 255)]","[[186, 115, 125], [80, 136, 114], [175, 133, 122], [139, 130, 122], [234, 129, 116]]","[[80, 136, 114], [139, 130, 122], [175, 133, 122], [186, 115, 125], [234, 129, 116]]"
['autumn'],"[(133, 4, 4), (204, 76, 6), (64, 2, 2), (109, 56, 11), (96, 65, 62)]","[[69, 177, 166], [126, 176, 186], [26, 157, 143], [76, 148, 164], [79, 141, 135]]","[[26, 157, 143], [69, 177, 166], [76, 148, 164], [79, 141, 135], [126, 176, 186]]"
['lovely'],"[(128, 39, 94), (108, 98, 217), (237, 119, 189), (181, 109, 222), (207, 68, 194)]","[[80, 172, 116], [123, 163, 68], [167, 182, 112], [148, 176, 81], [136, 196, 90]]","[[80, 172, 116], [123, 163, 68], [136, 196, 90], [148, 176, 81], [167, 182, 112]]"
['crystal'],"[(254, 255, 248), (250, 255, 248), (255, 255, 255), (250, 255, 254), (243, 255, 255)]","[[254, 126, 131], [254, 125, 131], [255, 128, 128], [254, 126, 128], [253, 124, 127]]","[[253, 124, 127], [254, 125, 131], [254, 126, 128], [254, 126, 131], [255, 128, 128]]"
"['green', 'ganesha']","[(86, 133, 72), (60, 51, 71), (86, 117, 72), (62, 71, 51), (70, 86, 62)]","[[130, 100, 156], [59, 137, 117], [117, 108, 149], [74, 120, 139], [88, 117, 140]]","[[59, 137, 117], [74, 120, 139], [88, 117, 140], [117, 108, 149], [130, 100, 156]]"
"['careful', 'planning']","[(188, 210, 227), (163, 197, 199), (132, 186, 182), (106, 174, 155), (70, 156, 128)]","[[212, 124, 117], [197, 117, 123], [183, 110, 124], [169, 102, 131], [150, 95, 135]]","[[150, 95, 135], [169, 102, 131], [183, 110, 124], [197, 117, 123], [212, 124, 117]]"
"['old', 'quilts']","[(255, 224, 224), (255, 210, 198), (240, 198, 162), (221, 180, 129), (216, 170, 123)]","[[234, 139, 132], [224, 142, 140], [211, 138, 152], [193, 136, 160], [186, 139, 159]]","[[186, 139, 159], [193, 136, 160], [211, 138, 152], [224, 142, 140], [234, 139, 132]]"
"['redolent', 'waves']","[(206, 214, 211), (171, 193, 190), (143, 173, 180), (126, 138, 159), (104, 121, 133)]","[[217, 125, 129], [195, 120, 127], [175, 119, 121], [146, 128, 115], [127, 125, 119]]","[[127, 125, 119], [146, 128, 115], [175, 119, 121], [195, 120, 127], [217, 125, 129]]"
"['flower', 'covered', 'in', 'mud']","[(186, 136, 136), (163, 128, 109), (146, 130, 94), (131, 126, 77), (118, 114, 74)]","[[157, 147, 136], [144, 139, 143], [140, 128, 150], [133, 122, 155], [121, 123, 151]]","[[121, 123, 151], [133, 122, 155], [140, 128, 150], [144, 139, 143], [157, 147, 136]]"
['frozen'],"[(199, 251, 247), (255, 250, 250), (218, 243, 255), (190, 237, 255), (170, 214, 255)]","[[243, 111, 124], [252, 130, 129], [241, 122, 119], [232, 117, 114], [214, 123, 103]]","[[214, 123, 103], [232, 117, 114], [241, 122, 119], [243, 111, 124], [252, 130, 129]]"
"['midnight', 'walks']","[(62, 7, 119), (51, 16, 86), (48, 62, 75), (20, 20, 108), (40, 12, 68)]","[[46, 174, 77], [36, 160, 93], [65, 126, 118], [36, 161, 78], [26, 155, 99]]","[[26, 155, 99], [36, 160, 93], [36, 161, 78], [46, 174, 77], [65, 126, 118]]"
"['so', 'much', 'drama']","[(255, 93, 0), (53, 234, 236), (0, 75, 168), (196, 35, 200), (36, 214, 47)]","[[155, 187, 199], [216, 86, 114], [86, 147, 73], [123, 205, 79], [192, 56, 193]]","[[86, 147, 73], [123, 205, 79], [155, 187, 199], [192, 56, 193], [216, 86, 114]]"
"['drama', 'primary']","[(1, 128, 255), (255, 0, 0), (53, 188, 236), (74, 74, 74), (251, 226, 0)]","[[140, 147, 57], [136, 208, 195], [182, 108, 94], [80, 128, 128], [228, 119, 217]]","[[80, 128, 128], [136, 208, 195], [140, 147, 57], [182, 108, 94], [228, 119, 217]]"
"['standing', 'patiently']","[(203, 193, 180), (198, 179, 145), (175, 147, 122), (134, 113, 103), (92, 68, 53)]","[[200, 129, 136], [188, 130, 148], [160, 135, 145], [126, 135, 137], [79, 136, 141]]","[[79, 136, 141], [126, 135, 137], [160, 135, 145], [188, 130, 148], [200, 129, 136]]"
"['keep', 'your', 'secrets']","[(236, 165, 165), (212, 142, 163), (184, 118, 172), (137, 74, 141), (107, 72, 122)]","[[190, 154, 139], [170, 157, 128], [148, 162, 110], [106, 165, 102], [93, 153, 105]]","[[93, 153, 105], [106, 165, 102], [148, 162, 110], [170, 157, 128], [190, 154, 139]]"
"['hold', 'my', 'soul']","[(213, 222, 255), (195, 188, 244), (186, 164, 221), (199, 130, 208), (201, 96, 144)]","[[226, 132, 111], [200, 142, 101], [181, 147, 102], [163, 167, 98], [140, 175, 121]]","[[140, 175, 121], [163, 167, 98], [181, 147, 102], [200, 142, 101], [226, 132, 111]]"
"['sweeter', 'than', 'honey']","[(234, 228, 178), (219, 216, 146), (206, 193, 113), (186, 174, 98), (156, 149, 76)]","[[229, 122, 153], [217, 119, 163], [198, 122, 170], [180, 122, 168], [155, 120, 167]]","[[155, 120, 167], [180, 122, 168], [198, 122, 170], [217, 119, 163], [229, 122, 153]]"
"['lilac', 'clouds']","[(229, 188, 221), (201, 167, 201), (162, 126, 171), (117, 89, 133), (68, 43, 99)]","[[206, 148, 117], [185, 146, 115], [147, 150, 109], [108, 148, 108], [59, 152, 99]]","[[59, 152, 99], [108, 148, 108], [147, 150, 109], [185, 146, 115], [206, 148, 117]]"
"['melting', 'hours']","[(170, 190, 216), (140, 153, 161), (167, 167, 152), (167, 141, 109), (122, 92, 62)]","[[194, 127, 113], [159, 125, 122], [174, 125, 136], [154, 133, 149], [106, 136, 150]]","[[106, 136, 150], [154, 133, 149], [159, 125, 122], [174, 125, 136], [194, 127, 113]]"
"['crystal', 'morning']","[(210, 238, 244), (179, 229, 236), (151, 225, 231), (118, 213, 221), (98, 198, 206)]","[[235, 120, 122], [224, 114, 119], [217, 107, 118], [204, 102, 115], [190, 101, 115]]","[[190, 101, 115], [204, 102, 115], [217, 107, 118], [224, 114, 119], [235, 120, 122]]"
"['midnight', 'serenade']","[(50, 167, 184), (0, 114, 131), (9, 52, 92), (37, 4, 71), (10, 1, 21)]","[[161, 102, 110], [112, 107, 111], [54, 130, 100], [22, 159, 94], [3, 134, 120]]","[[3, 134, 120], [22, 159, 94], [54, 130, 100], [112, 107, 111], [161, 102, 110]]"
['unsure'],"[(255, 237, 244), (255, 243, 248), (255, 248, 251), (255, 252, 253), (255, 255, 255)]","[[243, 135, 127], [247, 133, 127], [250, 131, 127], [253, 129, 128], [255, 128, 128]]","[[243, 135, 127], [247, 133, 127], [250, 131, 127], [253, 129, 128], [255, 128, 128]]"
"['ray', 'of', 'sun']","[(255, 251, 208), (255, 244, 197), (255, 243, 171), (255, 235, 151), (255, 232, 95)]","[[250, 123, 149], [245, 124, 152], [243, 122, 164], [237, 123, 171], [234, 120, 195]]","[[234, 120, 195], [237, 123, 171], [243, 122, 164], [245, 124, 152], [250, 123, 149]]"
['somber'],"[(133, 107, 114), (163, 149, 116), (188, 189, 162), (139, 123, 130), (151, 159, 171)]","[[122, 140, 128], [158, 128, 147], [193, 123, 142], [136, 135, 126], [166, 128, 121]]","[[122, 140, 128], [136, 135, 126], [158, 128, 147], [166, 128, 121], [193, 123, 142]]"
['shore'],"[(234, 226, 178), (244, 241, 206), (194, 209, 227), (112, 147, 195), (104, 105, 152)]","[[228, 123, 152], [241, 123, 145], [212, 127, 117], [153, 128, 99], [117, 139, 102]]","[[117, 139, 102], [153, 128, 99], [212, 127, 117], [228, 123, 152], [241, 123, 145]]"
"['flower', 'bouquet']","[(239, 127, 108), (213, 157, 122), (209, 130, 153), (169, 68, 68), (89, 76, 94)]","[[167, 169, 158], [177, 144, 154], [161, 161, 129], [109, 170, 149], [87, 137, 119]]","[[87, 137, 119], [109, 170, 149], [161, 161, 129], [167, 169, 158], [177, 144, 154]]"
['solitary'],"[(211, 229, 240), (192, 218, 231), (173, 207, 223), (153, 179, 208), (140, 152, 210)]","[[229, 124, 121], [218, 122, 119], [207, 120, 116], [183, 126, 110], [163, 137, 97]]","[[163, 137, 97], [183, 126, 110], [207, 120, 116], [218, 122, 119], [229, 124, 121]]"
"['flower', 'emotion']","[(0, 121, 107), (0, 255, 149), (210, 0, 148), (102, 2, 60), (26, 30, 34)]","[[115, 96, 128], [226, 55, 165], [119, 205, 107], [53, 172, 122], [28, 127, 125]]","[[28, 127, 125], [53, 172, 122], [115, 96, 128], [119, 205, 107], [226, 55, 165]]"
"['flamboyant', 'dress']","[(167, 34, 110), (236, 32, 53), (242, 107, 56), (247, 219, 79), (47, 149, 153)]","[[99, 186, 117], [130, 201, 171], [157, 177, 180], [223, 123, 197], [144, 101, 117]]","[[99, 186, 117], [130, 201, 171], [144, 101, 117], [157, 177, 180], [223, 123, 197]]"
['trauma'],"[(199, 231, 174), (134, 182, 132), (105, 163, 129), (73, 129, 108), (47, 85, 88)]","[[225, 108, 152], [177, 102, 148], [159, 101, 140], [127, 104, 134], [86, 115, 122]]","[[86, 115, 122], [127, 104, 134], [159, 101, 140], [177, 102, 148], [225, 108, 152]]"
"['butterflies', 'in', 'flower']","[(254, 67, 101), (252, 157, 154), (249, 205, 173), (169, 200, 193), (131, 175, 155)]","[[148, 199, 153], [189, 163, 145], [218, 139, 150], [199, 116, 128], [173, 109, 133]]","[[148, 199, 153], [173, 109, 133], [189, 163, 145], [199, 116, 128], [218, 139, 150]]"
"['sailing', 'in', 'a', 'storm']","[(195, 195, 150), (116, 146, 131), (82, 102, 109), (68, 82, 94), (65, 66, 88)]","[[198, 121, 151], [148, 114, 132], [107, 122, 122], [87, 126, 119], [73, 133, 115]]","[[73, 133, 115], [87, 126, 119], [107, 122, 122], [148, 114, 132], [198, 121, 151]]"
"['lake', 'water']","[(229, 252, 194), (216, 252, 194), (157, 224, 173), (69, 173, 168), (84, 121, 128)]","[[245, 111, 153], [243, 106, 152], [213, 97, 146], [166, 97, 122], [123, 117, 120]]","[[123, 117, 120], [166, 97, 122], [213, 97, 146], [243, 106, 152], [245, 111, 153]]"
"['the', 'long', 'dark', 'before', 'dawn']","[(233, 234, 193), (141, 154, 119), (80, 114, 96), (30, 47, 75), (8, 38, 56)]","[[234, 121, 148], [157, 117, 145], [115, 112, 134], [49, 131, 109], [36, 124, 113]]","[[36, 124, 113], [49, 131, 109], [115, 112, 134], [157, 117, 145], [234, 121, 148]]"
['thoughts'],"[(248, 177, 149), (246, 114, 128), (192, 108, 132), (108, 91, 123), (53, 92, 125)]","[[199, 150, 153], [164, 180, 145], [142, 164, 130], [106, 142, 113], [96, 125, 105]]","[[96, 125, 105], [106, 142, 113], [142, 164, 130], [164, 180, 145], [199, 150, 153]]"
['molasses'],"[(41, 25, 1), (51, 31, 0), (54, 38, 0), (75, 53, 0), (88, 56, 17)]","[[26, 133, 143], [35, 134, 148], [42, 131, 152], [61, 133, 161], [68, 138, 157]]","[[26, 133, 143], [35, 134, 148], [42, 131, 152], [61, 133, 161], [68, 138, 157]]"
"['the', 'wanderer']","[(195, 193, 249), (165, 171, 214), (127, 128, 167), (104, 101, 137), (76, 75, 103)]","[[204, 140, 101], [181, 135, 106], [140, 136, 107], [113, 137, 109], [84, 135, 112]]","[[84, 135, 112], [113, 137, 109], [140, 136, 107], [181, 135, 106], [204, 140, 101]]"
['potatoes'],"[(81, 37, 7), (81, 49, 9), (118, 69, 8), (159, 88, 0), (180, 151, 95)]","[[52, 146, 155], [60, 139, 157], [87, 145, 169], [114, 152, 181], [163, 131, 161]]","[[52, 146, 155], [60, 139, 157], [87, 145, 169], [114, 152, 181], [163, 131, 161]]"
"['the', 'strawberry', 'shortcake']","[(242, 143, 143), (255, 232, 213), (255, 255, 255), (255, 226, 233), (255, 243, 215)]","[[178, 165, 144], [238, 133, 140], [255, 128, 128], [236, 139, 128], [245, 128, 143]]","[[178, 165, 144], [236, 139, 128], [238, 133, 140], [245, 128, 143], [255, 128, 128]]"
"['dessert', 'choice']","[(128, 156, 154), (216, 183, 156), (253, 249, 231), (229, 218, 213), (174, 142, 128)]","[[159, 118, 126], [195, 136, 146], [249, 126, 137], [224, 131, 132], [157, 138, 140]]","[[157, 138, 140], [159, 118, 126], [195, 136, 146], [224, 131, 132], [249, 126, 137]]"
['accentuate'],"[(32, 199, 243), (255, 74, 74), (102, 252, 194), (255, 178, 148), (112, 167, 237)]","[[190, 103, 95], [150, 196, 169], [230, 75, 144], [202, 153, 155], [172, 129, 87]]","[[150, 196, 169], [172, 129, 87], [190, 103, 95], [202, 153, 155], [230, 75, 144]]"
"['purple', 'reign']","[(86, 77, 126), (177, 161, 204), (240, 233, 249), (195, 174, 216), (139, 124, 176)]","[[91, 144, 102], [176, 142, 108], [238, 133, 121], [189, 143, 110], [141, 145, 103]]","[[91, 144, 102], [141, 145, 103], [176, 142, 108], [189, 143, 110], [238, 133, 121]]"
"['pearly', 'lights']","[(251, 251, 231), (244, 244, 196), (233, 234, 185), (222, 223, 156), (208, 212, 138)]","[[250, 125, 138], [243, 120, 151], [233, 120, 152], [223, 117, 161], [212, 115, 164]]","[[212, 115, 164], [223, 117, 161], [233, 120, 152], [243, 120, 151], [250, 125, 138]]"
"['sorrow', 'of', 'histeria']","[(65, 52, 69), (50, 36, 60), (38, 19, 51), (28, 13, 39), (23, 3, 28)]","[[60, 138, 120], [43, 140, 115], [25, 145, 111], [16, 142, 113], [8, 140, 117]]","[[8, 140, 117], [16, 142, 113], [25, 145, 111], [43, 140, 115], [60, 138, 120]]"
['dirty'],"[(246, 144, 59), (199, 153, 66), (154, 138, 72), (118, 131, 69), (94, 99, 59)]","[[177, 160, 187], [168, 136, 179], [147, 125, 165], [134, 113, 160], [104, 119, 150]]","[[104, 119, 150], [134, 113, 160], [147, 125, 165], [168, 136, 179], [177, 160, 187]]"
['thanksgiving'],"[(156, 47, 47), (182, 86, 42), (219, 186, 51), (99, 63, 33), (81, 31, 22)]","[[93, 173, 154], [122, 164, 171], [195, 126, 196], [77, 140, 153], [49, 151, 146]]","[[49, 151, 146], [77, 140, 153], [93, 173, 154], [122, 164, 171], [195, 126, 196]]"
"['from', 'another', 'dimension']","[(206, 181, 103), (71, 160, 186), (191, 83, 132), (152, 61, 111), (84, 16, 53)]","[[189, 127, 171], [157, 109, 107], [129, 177, 122], [102, 172, 118], [46, 162, 122]]","[[46, 162, 122], [102, 172, 118], [129, 177, 122], [157, 109, 107], [189, 127, 171]]"
"['the', 'rebellion']","[(223, 96, 109), (152, 62, 80), (109, 25, 34), (54, 7, 16), (9, 0, 2)]","[[146, 179, 146], [100, 167, 136], [61, 165, 145], [22, 152, 135], [1, 131, 128]]","[[1, 131, 128], [22, 152, 135], [61, 165, 145], [100, 167, 136], [146, 179, 146]]"
"['dark', 'mint']","[(146, 221, 200), (129, 182, 157), (90, 161, 127), (19, 122, 99), (10, 58, 42)]","[[211, 100, 131], [178, 105, 135], [155, 98, 139], [116, 94, 133], [54, 108, 133]]","[[54, 108, 133], [116, 94, 133], [155, 98, 139], [178, 105, 135], [211, 100, 131]]"
"['shade', 'of', 'orange']","[(166, 2, 2), (242, 48, 4), (242, 116, 4), (242, 159, 4), (242, 183, 4)]","[[87, 186, 176], [135, 198, 193], [160, 172, 198], [184, 150, 204], [198, 137, 208]]","[[87, 186, 176], [135, 198, 193], [160, 172, 198], [184, 150, 204], [198, 137, 208]]"
"['skin', 'shade']","[(41, 2, 0), (62, 8, 0), (163, 62, 49), (215, 129, 105), (243, 197, 177)]","[[12, 146, 135], [27, 153, 144], [103, 169, 158], [160, 159, 155], [212, 141, 144]]","[[12, 146, 135], [27, 153, 144], [103, 169, 158], [160, 159, 155], [212, 141, 144]]"
"['shade', 'of', 'green']","[(19, 37, 25), (53, 89, 53), (93, 140, 85), (115, 167, 103), (147, 190, 137)]","[[33, 117, 134], [87, 107, 145], [137, 101, 152], [162, 98, 156], [186, 104, 150]]","[[33, 117, 134], [87, 107, 145], [137, 101, 152], [162, 98, 156], [186, 104, 150]]"
"['shade', 'of', 'blue']","[(1, 72, 167), (1, 90, 168), (5, 100, 172), (173, 189, 222), (233, 236, 245)]","[[84, 148, 72], [97, 136, 80], [106, 132, 83], [195, 130, 110], [238, 129, 123]]","[[84, 148, 72], [97, 136, 80], [106, 132, 83], [195, 130, 110], [238, 129, 123]]"
['orange'],"[(254, 0, 60), (254, 74, 59), (254, 101, 77), (255, 125, 96), (255, 144, 108)]","[[136, 209, 171], [149, 195, 176], [159, 185, 171], [171, 175, 167], [181, 167, 165]]","[[136, 209, 171], [149, 195, 176], [159, 185, 171], [171, 175, 167], [181, 167, 165]]"
"['sage', 'brook']","[(157, 193, 204), (214, 214, 214), (190, 192, 216), (182, 174, 174), (163, 171, 162)]","[[193, 118, 119], [218, 128, 128], [199, 132, 116], [183, 131, 129], [176, 123, 132]]","[[176, 123, 132], [183, 131, 129], [193, 118, 119], [199, 132, 116], [218, 128, 128]]"
['antique'],"[(154, 117, 117), (176, 97, 97), (118, 134, 137), (219, 231, 151), (225, 231, 192)]","[[135, 143, 134], [128, 160, 142], [140, 123, 124], [227, 112, 166], [230, 119, 146]]","[[128, 160, 142], [135, 143, 134], [140, 123, 124], [227, 112, 166], [230, 119, 146]]"
"['wine', 'and', 'cheese']","[(118, 131, 113), (223, 215, 166), (135, 70, 70), (214, 172, 172), (116, 85, 85)]","[[136, 120, 136], [218, 123, 153], [96, 156, 141], [189, 143, 134], [100, 141, 133]]","[[96, 156, 141], [100, 141, 133], [136, 120, 136], [189, 143, 134], [218, 123, 153]]"
"['trash', 'coven']","[(76, 1, 18), (74, 34, 45), (255, 255, 127), (50, 66, 109), (34, 45, 74)]","[[34, 162, 141], [49, 148, 130], [249, 111, 188], [73, 135, 101], [48, 133, 109]]","[[34, 162, 141], [48, 133, 109], [49, 148, 130], [73, 135, 101], [249, 111, 188]]"
"['pink', 'red']","[(221, 136, 204), (221, 51, 170), (204, 17, 102), (255, 0, 0), (183, 19, 54)]","[[172, 170, 106], [134, 202, 103], [114, 198, 132], [136, 208, 195], [100, 189, 154]]","[[100, 189, 154], [114, 198, 132], [134, 202, 103], [136, 208, 195], [172, 170, 106]]"
"['purples', 'pinks']","[(221, 136, 204), (221, 51, 170), (204, 17, 102), (255, 0, 0), (71, 61, 99)]","[[172, 170, 106], [134, 202, 103], [114, 198, 132], [136, 208, 195], [72, 142, 107]]","[[72, 142, 107], [114, 198, 132], [134, 202, 103], [136, 208, 195], [172, 170, 106]]"
"['strawberry', 'and', 'cream']","[(238, 162, 173), (250, 235, 215), (238, 162, 173), (250, 235, 215), (238, 162, 173)]","[[189, 158, 134], [239, 130, 140], [189, 158, 134], [239, 130, 140], [189, 158, 134]]","[[189, 158, 134], [189, 158, 134], [189, 158, 134], [239, 130, 140], [239, 130, 140]]"
"['sweet', 'france']","[(2, 37, 152), (255, 250, 250), (238, 41, 57), (3, 145, 227), (181, 202, 249)]","[[57, 166, 64], [252, 130, 129], [132, 200, 170], [148, 126, 78], [207, 131, 103]]","[[57, 166, 64], [132, 200, 170], [148, 126, 78], [207, 131, 103], [252, 130, 129]]"
"['girly', 'butterfly']","[(253, 122, 172), (255, 209, 236), (239, 221, 242), (161, 82, 186), (227, 68, 68)]","[[173, 183, 125], [225, 148, 121], [230, 138, 120], [124, 177, 87], [135, 189, 164]]","[[124, 177, 87], [135, 189, 164], [173, 183, 125], [225, 148, 121], [230, 138, 120]]"
"['pink', 'is', 'cool']","[(253, 239, 247), (255, 207, 246), (255, 164, 233), (255, 98, 209), (255, 76, 193)]","[[244, 134, 126], [225, 151, 115], [200, 171, 107], [167, 199, 101], [158, 205, 105]]","[[158, 205, 105], [167, 199, 101], [200, 171, 107], [225, 151, 115], [244, 134, 126]]"
"['fun', 'in', 'the', 'wild']","[(255, 164, 50), (228, 240, 33), (234, 28, 173), (189, 39, 191), (82, 162, 201)]","[[191, 153, 196], [233, 103, 214], [136, 210, 103], [120, 201, 82], [161, 115, 101]]","[[120, 201, 82], [136, 210, 103], [161, 115, 101], [191, 153, 196], [233, 103, 214]]"
"['halloween', 'fiesta']","[(255, 153, 1), (107, 38, 131), (255, 217, 25), (21, 5, 5), (43, 159, 74)]","[[184, 158, 205], [76, 173, 89], [223, 125, 213], [6, 133, 130], [148, 78, 163]]","[[6, 133, 130], [76, 173, 89], [148, 78, 163], [184, 158, 205], [223, 125, 213]]"
"['a', 'cloud', 'in', 'the', 'sky']","[(255, 239, 251), (255, 252, 252), (240, 239, 239), (222, 251, 255), (136, 204, 255)]","[[245, 135, 124], [253, 129, 128], [241, 128, 128], [247, 119, 123], [202, 120, 96]]","[[202, 120, 96], [241, 128, 128], [245, 135, 124], [247, 119, 123], [253, 129, 128]]"
"['young', 'dog', 'plays', 'in', 'the', 'garden']","[(255, 191, 38), (242, 235, 80), (93, 242, 70), (255, 255, 255), (206, 201, 201)]","[[207, 139, 205], [233, 113, 201], [217, 58, 195], [255, 128, 128], [207, 130, 129]]","[[207, 130, 129], [207, 139, 205], [217, 58, 195], [233, 113, 201], [255, 128, 128]]"
"['anxiety', 'sucks']","[(33, 19, 42), (29, 50, 81), (28, 87, 85), (44, 122, 83), (61, 141, 78)]","[[22, 141, 115], [52, 131, 107], [85, 109, 124], [117, 94, 142], [134, 89, 154]]","[[22, 141, 115], [52, 131, 107], [85, 109, 124], [117, 94, 142], [134, 89, 154]]"
['matcha'],"[(175, 225, 103), (163, 219, 111), (162, 208, 127), (145, 199, 136), (157, 210, 140)]","[[214, 93, 182], [208, 92, 175], [201, 99, 163], [192, 98, 154], [202, 98, 157]]","[[192, 98, 154], [201, 99, 163], [202, 98, 157], [208, 92, 175], [214, 93, 182]]"
